Rating,Comment,Full Review
4,Very Good,"Taste is good But it's a cheating in the box you get 6ps for 60 but it's just 11ps for 140, is it not a cheatingREAD MORE"
5,Classy product,GoodREAD MORE
4,Worth the money,NiceREAD MORE
5,Brilliant,So delicious I loved itREAD MORE
5,Excellent,GoodREAD MORE
5,Brilliant,"Sunfeast Dark Fantasy Yumfills Cookie Cake is an absolute treat for anyone with a sweet tooth. As a dessert enthusiast, I find these cookie cakes to be a delectable and indulgent delight that takes the cookie experience to a whole new level.Firstly, the packaging of Sunfeast Dark Fantasy Yumfills Cookie Cake is eye-catching and appealing. Each cookie cake comes in an individual pack, ensuring they remain fresh and retain their softness and flavor.The taste of Sunfeast Dark Fantasy Yumfill...READ MORE"
4,Nice product,GoodREAD MORE
5,Terrific,Its osmREAD MORE
5,Worth every penny,NiceREAD MORE
1,Utterly Disappointed,Very bad 😭READ MORE
5,Wonderful,It was Wonderful...Loved it 💯🤗💗READ MORE
3,Decent product,GoodREAD MORE
4,Good choice,Yumfill cookie cake I love it on this froductREAD MORE
4,Nice product,Nice tasteREAD MORE
4,Delightful,GoodREAD MORE
4,Very Good,Taste is superbbbREAD MORE
4,Worth the money,Good 👍READ MORE
3,Decent product,East of moneyREAD MORE
4,Good choice,Nice 👍READ MORE
4,Good quality product,Tasty and sweety 😋😋READ MORE
5,Great product,GoodREAD MORE
5,Highly recommended,NiceREAD MORE
1,Don't waste your money,We don't like the taste. It's kind of half baked and Feel it gives after eating is not goodREAD MORE
5,Just wow!,Very nice and so yammy i am happy and delivery boy behaviour to good 👍READ MORE
5,Simply awesome,Good price good quality thanks 👍READ MORE
5,Perfect product!,I love thisREAD MORE
5,Wonderful,Very niceREAD MORE
4,Nice product,NiceREAD MORE
5,Must buy!,GudREAD MORE
4,Good quality product,GoodREAD MORE
5,Fabulous!,good I am happy 😀READ MORE
5,Super!,Mind-blowingREAD MORE
5,Just wow!,Yummy 😋😋😋READ MORE
5,Must buy!,So yumREAD MORE
5,Terrific,GoodREAD MORE
5,Perfect product!,SuperREAD MORE
3,Nice,GoodREAD MORE
5,Awesome,GoodREAD MORE
4,Nice product,ValueREAD MORE
5,Classy product,GdREAD MORE
5,Wonderful,awesomeREAD MORE
4,Good choice,GoodREAD MORE
5,Just wow!,Yummy 😋🤤READ MORE
5,Classy product,I am very happy with this.READ MORE
3,Just okay,Less sweet.Not taste like choco pieREAD MORE
5,Great product,SupperREAD MORE
4,Delightful,Good product and service was also very good.READ MORE
5,Fabulous!,Good quality yummy 😋READ MORE
5,Wonderful,Good 😒READ MORE
3,Does the job,OkREAD MORE
5,Super!,Taste is goodREAD MORE
3,Does the job,Yummy yummy 😋READ MORE
5,Highly recommended,It is one of my favouriteREAD MORE
5,Super!,Really yummy 😋READ MORE
5,Terrific purchase,Good tastyREAD MORE
5,Awesome,Very goodREAD MORE
5,Best in the market!,GoodREAD MORE
5,Wonderful,I like itREAD MORE
5,Perfect product!,"Good Taste, Go for itREAD MORE"
1,Absolute rubbish!,Not goodREAD MORE
5,Awesome,NiceREAD MORE
5,Worth every penny,NiceREAD MORE
5,Just wow!,YummyREAD MORE
5,Terrific purchase,Super tasteREAD MORE
5,Excellent,Yummy taste with this amazing priceThanku flipkart 🙂READ MORE
5,Fabulous!,GoodREAD MORE
5,Super!,Good oneREAD MORE
3,Fair,Not badREAD MORE
5,Mind-blowing purchase,GoodREAD MORE
5,Awesome,Best quality thankyou FlipkartREAD MORE
5,Great product,GoodREAD MORE
5,Simply awesome,Very goodREAD MORE
1,Terrible product,Not good cheater for this productREAD MORE
5,Super!,"It was delivered in a perfect condition, thank you Flipkart😊READ MORE"
4,Nice product,GoodREAD MORE
5,Super!,Nice productREAD MORE
5,Terrific,Testy it's osama go for it ❤READ MORE
4,Good choice,Good productREAD MORE
5,Super!,YummyREAD MORE
5,Super!,Nice and friendly executive on timeREAD MORE
5,Terrific purchase,Simply  yumREAD MORE
3,Nice,OkREAD MORE
1,Worst experience ever!,Poor gualityREAD MORE
5,Fabulous!,Good productREAD MORE
5,Awesome,Best productREAD MORE
5,Terrific,It's very tasty and I loved itREAD MORE
5,Excellent,GoodREAD MORE
5,Highly recommended,Very nice productREAD MORE
5,Brilliant,DeliciousREAD MORE
5,Perfect product!,It's very softREAD MORE
5,Worth every penny,Wow nice tisti 🥰READ MORE
5,Brilliant,Super 😘READ MORE
4,Value-for-money,"All packing and stuff is good but delivery time is to long, as compared to jiomart delivery within 2days means good i think.READ MORE"
5,Wonderful,Best in budgetREAD MORE
5,Fabulous!,YummyREAD MORE
5,Worth every penny,Good snacks..niceREAD MORE
5,Best in the market!,OkREAD MORE
5,Just wow!,NiceREAD MORE
5,Mind-blowing purchase,Ossam tasteREAD MORE
5,Brilliant,Very goodREAD MORE
