Name,Rating,Review Count,Price
Cadbury Dairy Milk Fruit & Nut Chocolate Bars,4.4,"-12,684",ýýý507
Cadbury 5 Star Chocolate Bars,4.3,"-2,227",ýýý744
Cadbury Dairy Milk Crackle Chocolate Bars,4.4,"-7,549",ýýý423
Cadbury Dairy Milk Home Treats Chocolate Bars,4.3,"-21,093",ýýý119
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"-2,061",ýýý507
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,-396,ýýý243
Kinder JOY Milk Fudges,4.5,"-2,405",ýýý340
Cadbury 5 Star Chocolate Home Treat Bars,4.3,"-6,436",ýýý223
White Castle Vanila Truffles,4.4,"-2,436",ýýý250
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,-527,ýýý468
Cadbury Dairy Milk Crispello Bars,4.3,"-3,439",ýýý446
Expelite Happy Anniversay Chocolate Gift Bar Box for Hu...,4,-262,ýýý200
Cadbury Dairy Milk Silk Roast Almond Bars,4.4,"-3,717",ýýý504
"Snickers Miniatures Peanut Filled Chocolates Bars, Load...",4.3,"-2,854",ýýý378
Winola Chocolate Gift Pack- Choco Biscuit Balls (1 kg) ...,3.8,-86,ýýý419
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,-527,ýýý468
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"-4,523",ýýý287
Cadbury 5 Star Chocolate Bars,4.3,"-2,227",ýýý744
Cadbury Fuse Peanut & Caramel Filled Chocolate Home Tre...,4.3,-163,ýýý288
"CHOCOINDIANART Elegant Happy Valentine's Day, 06pcs Del...",3.8,-398,ýýý263
Cadbury Dairy Milk Fruit & Nut Chocolate Bars,4.4,"-12,684",ýýý507
Cadbury 5 Star Chocolate Bars,4.3,"-2,227",ýýý744
Cadbury Dairy Milk Crackle Chocolate Bars,4.4,"-7,549",ýýý423
Cadbury Dairy Milk Home Treats Chocolate Bars,4.3,"-21,093",ýýý119
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"-2,061",ýýý507
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,-396,ýýý243
Kinder JOY Milk Fudges,4.5,"-2,405",ýýý340
Cadbury 5 Star Chocolate Home Treat Bars,4.3,"-6,436",ýýý223
White Castle Vanila Truffles,4.4,"-2,436",ýýý250
"HERSHEY'S Whole Almonds, Cookies 'N' Creme and Creamy M...",4.1,-787,ýýý311
Cadbury Dairy Milk Crispello Bars,4.3,"-3,439",ýýý446
Expelite Happy Anniversay Chocolate Gift Bar Box for Hu...,4,-262,ýýý200
Cadbury Dairy Milk Silk Roast Almond Bars,4.4,"-3,717",ýýý504
"Snickers Miniatures Peanut Filled Chocolates Bars, Load...",4.3,"-2,854",ýýý378
Rich'U Chocolates I LOVE YOU Milk Chocolate Bar Berries...,4.4,"-12,684",ýýý142
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,-396,ýýý243
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"-4,523",ýýý287
Cadbury 5 Star Chocolate Bars,4.3,"-2,227",ýýý744
Cadbury Fuse Peanut & Caramel Filled Chocolate Home Tre...,4.3,-163,ýýý288
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,-527,ýýý468
Cadbury Dairy Milk Silk Oreo Chocolate Bars,4.4,"-5,729",ýýý549
Cadbury Dairy Milk Silk Bubbly Valentines Gift Pack Cho...,4.3,"-2,019",ýýý83
Cadbury 5 Star Chocolate Home Treats Bars,4.3,"-6,436",ýýý149
Expelite Happy Birthday Chocolate Bar Gift Box for Husb...,4,"-2,179",ýýý196
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"-2,061",ýýý507
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,-396,ýýý243
Cadbury Dairy Milk Fruit and Nut Chocolate Bars,4.4,"-12,684",ýýý90
HUGS Wonder Chocolate Truffle with Messages | Chocolate...,4.4,"-1,197",ýýý255
Cadbury Dairy Milk Maha Pack Chocolate Bars,4.3,"-9,122",ýýý564
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,-527,ýýý468
Cadbury Dairy Milk Crispello Bars,4.3,"-3,439",ýýý446
Expelite Happy Anniversay Chocolate Gift Bar Box for Hu...,4,-262,ýýý200
Cadbury Dairy Milk Silk Roast Almond Bars,4.4,"-3,717",ýýý504
"Snickers Miniatures Peanut Filled Chocolates Bars, Load...",4.3,"-2,854",ýýý378
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"-2,061",ýýý507
Rich'U Chocolates I LOVE YOU Milk Chocolate Bar Berries...,4,-396,ýýý142
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"-4,523",ýýý287
Cadbury 5 Star Chocolate Bars,4.3,"-2,227",ýýý744
Cadbury Fuse Peanut & Caramel Filled Chocolate Home Tre...,4.3,-163,ýýý288
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,-527,ýýý468
Cadbury Dairy Milk Fruit & Nut Chocolate Bars,4.4,"-12,684",ýýý507
Cadbury 5 Star Chocolate Bars,4.3,"-2,227",ýýý744
Cadbury Dairy Milk Crackle Chocolate Bars,4.4,"-7,549",ýýý423
Cadbury Dairy Milk Home Treats Chocolate Bars,4.3,"-21,093",ýýý119
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"-2,061",ýýý507
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,-396,ýýý243
Kinder JOY Milk Fudges,4.5,"-2,405",ýýý340
Cadbury 5 Star Chocolate Home Treat Bars,4.3,"-6,436",ýýý223
White Castle Vanila Truffles,4.4,"-2,436",ýýý250
HUGS Ghana Twist Dark Chocolate 36 Pcs Jar Pack Of 3 Fu...,4.1,-93,ýýý431
Cadbury Dairy Milk Crispello Bars,4.3,"-3,439",ýýý446
Sugarfree D'lite The Dark Collection Assorted Gift Pack...,4,"-1,339",ýýý278
Winola Milk Choco Gold Center Filled Milk Choco 140g Ja...,3.7,-857,ýýý135
Cadbury Dairy Milk Silk Fruits and Nut Chocolate Bars,4.4,"-3,544",ýýý712
Cadbury Dairy Milk Lickables with Oreo Chunks Milk Choc...,4.4,"-3,735",ýýý442
Rich'U Chocolates I LOVE YOU Milk Chocolate Bar Berries...,4,-396,ýýý142
Expelite Happy Anniversay Chocolate Gift Bar Box for Hu...,4,-262,ýýý200
Tosca Muso Gold Chocolate- Center Filled Milk Chocolate...,3.9,-791,ýýý211
Nature Purify Orange Candy (Khatti Mithi Goli) Truffles,3.6,-500,ýýý135
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,-527,ýýý468
