Name,Rating,Review Count,Price
Maayka - Ek Atoot Rishta -Atta-Vanilla-Chocolate-Black ...,4,-385,ýýý340
LuvIt Luscious Choco Spread | Made with Cocoa | Sandwic...,4.2,"-4,621",ýýý176
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"-4,523",ýýý364
LuvIt Luscious Choco Spread | Made with Cocoa | Sandwic...,4.3,"-4,485",ýýý499
"Denali Cocoa Powder 800 Gm Unsweetened & Vegan - Bake, ...",4,-141,ýýý340
Bakefrillz Food & Culinary Flavour Essence for cakes ic...,3.8,-52,ýýý488
LuvIt Choco Spread | Smooth & Delicious | Made with Coc...,4.2,"-2,004",ýýý297
Winola Milk Choco Biscuit Balls- Chocolate Munchies for...,3.8,"-1,942",ýýý147
PALFREY Unsweetened & Natural 300g Cocoa Powder for Mak...,4.3,"-2,585",ýýý294
ORGANIC NATURE Chocolate Sprinkles for Cake Decorations...,4.4,-25,ýýý259
Maayka - Ek Atoot Rishta -Atta-Vanilla-Chocolate-Black ...,4,-385,ýýý340
"Bakersveggie Eggless Chocolate Cake Premix ( mix), 1kg ...",4.2,-837,ýýý260
"Pramix Dark Chocolate Chips | Choco Chips for Baking, I...",3.8,-186,ýýý246
"Denali Premium White Compound Slab,Delicious Chocolate ...",4,-432,ýýý265
"Mohan Impex Chocolate Cake Mix, Eggless, Rich Choco Pow...",3.8,-52,ýýý349
"Brew Lab Milk Choco Chips for Cake Decoration, cookies ...",4.1,-20,ýýý228
SOOPER CHOCOLATE CAKE MIX 250g + VANILLA WHIPPING CREAM...,4.1,-285,ýýý223
Lotte Chocopie-12 Pcs (28GRAM X 12) Cookie Cake,4.2,-410,ýýý213
Lotte Chocopie-48 Pcs ( 300 GRAM X 4) Cookie Cake,4.4,-234,ýýý655
Denali Premium Dark Compound Slab with 18% Cocoa - 400 ...,4.1,"-4,523",ýýý212
Maayka - Ek Atoot Rishta -Atta-Vanilla-Chocolate-Black ...,4,-385,ýýý340
LuvIt Luscious Choco Spread | Made with Cocoa | Sandwic...,4.2,"-4,621",ýýý176
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"-4,523",ýýý364
LuvIt Luscious Choco Spread | Made with Cocoa | Sandwic...,4.3,"-4,485",ýýý499
"Denali Cocoa Powder 800 Gm Unsweetened & Vegan - Bake, ...",4,-141,ýýý340
Bakefrillz Food & Culinary Flavour Essence for cakes ic...,3.8,-52,ýýý488
LuvIt Choco Spread | Smooth & Delicious | Made with Coc...,4.2,"-2,004",ýýý297
Winola Milk Choco Biscuit Balls- Chocolate Munchies for...,3.8,"-1,942",ýýý147
PALFREY Unsweetened & Natural 300g Cocoa Powder for Mak...,4.3,"-2,585",ýýý294
ORGANIC NATURE Chocolate Sprinkles for Cake Decorations...,4.4,-25,ýýý259
Maayka - Ek Atoot Rishta -Atta-Vanilla-Chocolate-Black ...,4,-385,ýýý340
Sunfeast Dark Fantasy Yumm Fills Pie Cookie Cake,4.3,-253,ýýý175
Ghasitaram Gifts Delicious Milk Cake Box,3.8,-366,ýýý275
"Pramix Dark Chocolate Chips | Choco Chips for Baking, I...",3.8,-186,ýýý246
"Mohan Impex Chocolate Cake Mix, Eggless, Rich Choco Pow...",3.8,-52,ýýý349
spice n dice Multicolor Tutti Frutti | Fresh Cherries f...,4.3,-215,ýýý135
frozen Nuts Gems Chocolate | Colorful Chocolate Candy f...,4.1,-8,ýýý138
SOOPER CHOCOLATE CAKE MIX 250g + VANILLA WHIPPING CREAM...,4.1,-285,ýýý223
Haldiram's Milk Cake 400 g X 1 Pcs Box,4.2,-483,ýýý399
Denali Premium Dark Compound Slab with 18% Cocoa - 400 ...,4.1,"-4,523",ýýý212
Victuals Chocolate Gems & Colourful Saunf Combo ( 200gm...,3.8,-984,ýýý140
La Casa Vegan Churros Mix - Vanilla+Chocolate | Multigr...,4.1,"-4,523",ýýý299
Winola Chocolate Balls with biscuits inside for Cake De...,3.8,"-1,522",ýýý199
Nature's Bridge Gems Munchies Chocolate Munchies Gem s ...,4,"-2,587",ýýý249
"Mr.Kool Food Essence Vanilla, Chocolate Flavors 20ml Ea...",4,"-1,274",ýýý199
Marvino Whip Colors edible Food Colours for cake pastri...,3.8,"-1,104",ýýý599
Bliss of Earth 2X250gm Dark Unsweetened Cocoa Powder Fo...,4.2,-759,ýýý350
Haldiram's Soan Cake (Sadha) (Pack of 2) Box,4.3,"-11,152",ýýý230
PIK Eggless Cake Mix - Rich Chocolate 250 g,4,"-1,062",ýýý130
"Medhyata Cake Decoration Combo, Rainbow Balls,Silver Ba...",4.1,-414,ýýý251
Maayka - Ek Atoot Rishta -Atta-Vanilla-Chocolate-Black ...,4,-385,ýýý340
Sunfeast Dark Fantasy Yumm Fills Pie Cookie Cake,4.3,-253,ýýý175
Ghasitaram Gifts Delicious Milk Cake Box,3.8,-366,ýýý275
"Pramix Dark Chocolate Chips | Choco Chips for Baking, I...",3.8,-186,ýýý246
"Mohan Impex Chocolate Cake Mix, Eggless, Rich Choco Pow...",3.8,-52,ýýý349
spice n dice Multicolor Tutti Frutti | Fresh Cherries f...,4.3,-215,ýýý135
frozen Nuts Gems Chocolate | Colorful Chocolate Candy f...,4.1,-8,ýýý138
SOOPER CHOCOLATE CAKE MIX 250g + VANILLA WHIPPING CREAM...,4.1,-285,ýýý223
Haldiram's Milk Cake 400 g X 1 Pcs Box,4.2,-483,ýýý399
Denali Premium Dark Compound Slab with 18% Cocoa - 400 ...,4.1,"-4,523",ýýý212
Maayka - Ek Atoot Rishta -Atta-Vanilla-Chocolate-Black ...,4,-385,ýýý340
LuvIt Luscious Choco Spread | Made with Cocoa | Sandwic...,4.2,"-4,621",ýýý176
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"-4,523",ýýý364
LuvIt Luscious Choco Spread | Made with Cocoa | Sandwic...,4.3,"-4,485",ýýý499
"Denali Cocoa Powder 800 Gm Unsweetened & Vegan - Bake, ...",4,-141,ýýý340
Bakefrillz Food & Culinary Flavour Essence for cakes ic...,3.8,-52,ýýý488
LuvIt Choco Spread | Smooth & Delicious | Made with Coc...,4.2,"-2,004",ýýý297
Winola Milk Choco Biscuit Balls- Chocolate Munchies for...,3.8,"-1,942",ýýý147
PALFREY Unsweetened & Natural 300g Cocoa Powder for Mak...,4.3,"-2,585",ýýý294
ORGANIC NATURE Chocolate Sprinkles for Cake Decorations...,4.4,-25,ýýý259
Maayka - Ek Atoot Rishta -Atta-Vanilla-Chocolate-Black ...,4,-385,ýýý340
Sunfeast Dark Fantasy Yumm Fills Pie Cookie Cake,4.3,-253,ýýý175
Ghasitaram Gifts Delicious Milk Cake Box,3.8,-366,ýýý275
"Pramix Dark Chocolate Chips | Choco Chips for Baking, I...",3.8,-186,ýýý246
"Mohan Impex Chocolate Cake Mix, Eggless, Rich Choco Pow...",3.8,-52,ýýý349
spice n dice Multicolor Tutti Frutti | Fresh Cherries f...,4.3,-215,ýýý135
frozen Nuts Gems Chocolate | Colorful Chocolate Candy f...,4.1,-8,ýýý138
SOOPER CHOCOLATE CAKE MIX 250g + VANILLA WHIPPING CREAM...,4.1,-285,ýýý223
Haldiram's Milk Cake 400 g X 1 Pcs Box,4.2,-483,ýýý399
Denali Premium Dark Compound Slab with 18% Cocoa - 400 ...,4.1,"-4,523",ýýý212
Maayka - Ek Atoot Rishta -Atta-Vanilla-Chocolate-Black ...,4,-385,ýýý340
LuvIt Luscious Choco Spread | Made with Cocoa | Sandwic...,4.2,"-4,621",ýýý176
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"-4,523",ýýý364
LuvIt Luscious Choco Spread | Made with Cocoa | Sandwic...,4.3,"-4,485",ýýý499
"Denali Cocoa Powder 800 Gm Unsweetened & Vegan - Bake, ...",4,-141,ýýý340
Bakefrillz Food & Culinary Flavour Essence for cakes ic...,3.8,-52,ýýý488
KAILASH Milk Cake Box,4.1,-780,ýýý235
"Mr.Kool Food Essence Vanilla, Chocolate Flavors 20ml Ea...",4,"-1,274",ýýý199
Denali Premium Dark Compound Slab with 18% Cocoa - 400 ...,4.1,"-4,523",ýýý212
ORGANIC NATURE Chocolate Sprinkles for Cake Decorations...,4.4,-25,ýýý259
Maayka - Ek Atoot Rishta -Atta-Vanilla-Chocolate-Black ...,4,-385,ýýý340
Sunfeast Dark Fantasy Yumm Fills Pie Cookie Cake,4.3,-253,ýýý175
Ghasitaram Gifts Delicious Milk Cake Box,3.8,-366,ýýý275
"Pramix Dark Chocolate Chips | Choco Chips for Baking, I...",3.8,-186,ýýý246
"Mohan Impex Chocolate Cake Mix, Eggless, Rich Choco Pow...",3.8,-52,ýýý349
spice n dice Multicolor Tutti Frutti | Fresh Cherries f...,4.3,-215,ýýý135
frozen Nuts Gems Chocolate | Colorful Chocolate Candy f...,4.1,-8,ýýý138
SOOPER CHOCOLATE CAKE MIX 250g + VANILLA WHIPPING CREAM...,4.1,-285,ýýý223
Haldiram's Milk Cake 400 g X 1 Pcs Box,4.2,-483,ýýý399
Denali Premium Dark Compound Slab with 18% Cocoa - 400 ...,4.1,"-4,523",ýýý212
