Name,Rating,Review Count,Price
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Cadbury Dairy Milk Fruit & Nut Chocolate Bars,4.4,"(12,684)",₹507
Cadbury 5 Star Chocolate Bars,4.3,"(2,227)",₹744
Cadbury Dairy Milk Crackle Chocolate Bars,4.4,"(7,549)",₹423
Cadbury Dairy Milk Home Treats Chocolate Bars,4.3,"(21,093)",₹119
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"(2,061)",₹507
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,(396),₹243
Kinder JOY Milk Fudges,4.5,"(2,405)",₹340
Cadbury 5 Star Chocolate Home Treat Bars,4.3,"(6,436)",₹223
White Castle Vanila Truffles,4.4,"(2,436)",₹250
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,(527),₹468
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,4.4,No reviews,₹507
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Cadbury Dairy Milk Crispello Bars,4.3,"(3,439)",₹446
Expelite Happy Anniversay Chocolate Gift Bar Box for Hu...,4,(262),₹200
Cadbury Dairy Milk Silk Roast Almond Bars,4.4,"(3,717)",₹504
"Snickers Miniatures Peanut Filled Chocolates Bars, Load...",4.3,"(2,854)",₹378
Winola Chocolate Gift Pack- Choco Biscuit Balls (1 kg) ...,3.8,(86),₹419
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,(527),₹468
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"(4,523)",₹287
Cadbury 5 Star Chocolate Bars,4.3,"(2,227)",₹744
Cadbury Fuse Peanut & Caramel Filled Chocolate Home Tre...,4.3,(163),₹288
"CHOCOINDIANART Elegant Happy Valentine's Day, 06pcs Del...",3.8,(398),₹263
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,4.4,No reviews,₹280
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Cadbury Dairy Milk Fruit & Nut Chocolate Bars,4.4,"(12,684)",₹507
Cadbury 5 Star Chocolate Bars,4.3,"(2,227)",₹744
Cadbury Dairy Milk Crackle Chocolate Bars,4.4,"(7,549)",₹423
Cadbury Dairy Milk Home Treats Chocolate Bars,4.3,"(21,093)",₹119
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"(2,061)",₹507
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,(396),₹243
Kinder JOY Milk Fudges,4.5,"(2,405)",₹340
Cadbury 5 Star Chocolate Home Treat Bars,4.3,"(6,436)",₹223
White Castle Vanila Truffles,4.4,"(2,436)",₹250
"HERSHEY'S Whole Almonds, Cookies 'N' Creme and Creamy M...",4.1,(787),₹311
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,4.4,No reviews,₹507
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Cadbury Dairy Milk Crispello Bars,4.3,"(3,439)",₹446
Expelite Happy Anniversay Chocolate Gift Bar Box for Hu...,4,(262),₹200
Cadbury Dairy Milk Silk Roast Almond Bars,4.4,"(3,717)",₹504
"Snickers Miniatures Peanut Filled Chocolates Bars, Load...",4.3,"(2,854)",₹378
Rich'U Chocolates I LOVE YOU Milk Chocolate Bar Berries...,4.4,"(12,684)",₹142
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,(396),₹243
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"(4,523)",₹287
Cadbury 5 Star Chocolate Bars,4.3,"(2,227)",₹744
Cadbury Fuse Peanut & Caramel Filled Chocolate Home Tre...,4.3,(163),₹288
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,(527),₹468
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,4.4,No reviews,₹280
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Cadbury Dairy Milk Silk Oreo Chocolate Bars,4.4,"(5,729)",₹549
Cadbury Dairy Milk Silk Bubbly Valentines Gift Pack Cho...,4.3,"(2,019)",₹83
Cadbury 5 Star Chocolate Home Treats Bars,4.3,"(6,436)",₹149
Expelite Happy Birthday Chocolate Bar Gift Box for Husb...,4,"(2,179)",₹196
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"(2,061)",₹507
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,(396),₹243
Cadbury Dairy Milk Fruit and Nut Chocolate Bars,4.4,"(12,684)",₹90
HUGS Wonder Chocolate Truffle with Messages | Chocolate...,4.4,"(1,197)",₹255
Cadbury Dairy Milk Maha Pack Chocolate Bars,4.3,"(9,122)",₹564
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,(527),₹468
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,3.9,No reviews,₹287
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Cadbury Dairy Milk Crispello Bars,4.3,"(3,439)",₹446
Expelite Happy Anniversay Chocolate Gift Bar Box for Hu...,4,(262),₹200
Cadbury Dairy Milk Silk Roast Almond Bars,4.4,"(3,717)",₹504
"Snickers Miniatures Peanut Filled Chocolates Bars, Load...",4.3,"(2,854)",₹378
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"(2,061)",₹507
Rich'U Chocolates I LOVE YOU Milk Chocolate Bar Berries...,4,(396),₹142
"Denali Premium Dark Compound Slab with 18% Cocoa, Delic...",4.1,"(4,523)",₹287
Cadbury 5 Star Chocolate Bars,4.3,"(2,227)",₹744
Cadbury Fuse Peanut & Caramel Filled Chocolate Home Tre...,4.3,(163),₹288
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,(527),₹468
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,4.4,No reviews,₹280
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Cadbury Dairy Milk Fruit & Nut Chocolate Bars,4.4,"(12,684)",₹507
Cadbury 5 Star Chocolate Bars,4.3,"(2,227)",₹744
Cadbury Dairy Milk Crackle Chocolate Bars,4.4,"(7,549)",₹423
Cadbury Dairy Milk Home Treats Chocolate Bars,4.3,"(21,093)",₹119
Cadbury Dairy Milk Silk Valentines Gift Pack Chocolate ...,4.4,"(2,061)",₹507
HUGS Ghana Twist Dark Chocolate | Chocolate Gift Hamper...,4,(396),₹243
Kinder JOY Milk Fudges,4.5,"(2,405)",₹340
Cadbury 5 Star Chocolate Home Treat Bars,4.3,"(6,436)",₹223
White Castle Vanila Truffles,4.4,"(2,436)",₹250
HUGS Ghana Twist Dark Chocolate 36 Pcs Jar Pack Of 3 Fu...,4.1,(93),₹431
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,4.4,No reviews,₹507
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Cadbury Dairy Milk Crispello Bars,4.3,"(3,439)",₹446
Sugarfree D'lite The Dark Collection Assorted Gift Pack...,4,"(1,339)",₹278
Winola Milk Choco Gold Center Filled Milk Choco 140g Ja...,3.7,(857),₹135
Cadbury Dairy Milk Silk Fruits and Nut Chocolate Bars,4.4,"(3,544)",₹712
Cadbury Dairy Milk Lickables with Oreo Chunks Milk Choc...,4.4,"(3,735)",₹442
Rich'U Chocolates I LOVE YOU Milk Chocolate Bar Berries...,4,(396),₹142
Expelite Happy Anniversay Chocolate Gift Bar Box for Hu...,4,(262),₹200
Tosca Muso Gold Chocolate- Center Filled Milk Chocolate...,3.9,(791),₹211
Nature Purify Orange Candy (Khatti Mithi Goli) Truffles,3.6,(500),₹135
"SNICKERS Almond Filled Chocolate , Loaded with Nougat &...",4.3,(527),₹468
Name not available,Not available,No reviews,Price not available
Name not available,Not available,No reviews,Price not available
Name not available,3.9,No reviews,₹287
Name not available,Not available,No reviews,Price not available
